C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/23/2019,08:00:00,REGULAR,0006231539,0001397433                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/23/2019,12:00:00,REGULAR,0006231650,0001397467                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/23/2019,16:00:00,REGULAR,0006231887,0001397500                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/23/2019,20:00:00,REGULAR,0006232164,0001397539                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/24/2019,00:00:00,REGULAR,0006232289,0001397557                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/24/2019,04:00:00,REGULAR,0006232309,0001397558                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/24/2019,08:00:00,REGULAR,0006232319,0001397565                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/24/2019,12:00:00,REGULAR,0006232386,0001397596                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/24/2019,16:00:00,REGULAR,0006232584,0001397637                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/24/2019,20:00:00,REGULAR,0006232772,0001397665                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/25/2019,00:00:00,REGULAR,0006232872,0001397677                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/25/2019,04:00:00,REGULAR,0006232877,0001397679                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/25/2019,08:00:00,REGULAR,0006232907,0001397717                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/25/2019,12:00:00,REGULAR,0006233033,0001397804                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/25/2019,16:00:00,REGULAR,0006233259,0001397826                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/25/2019,20:00:00,REGULAR,0006233851,0001397863                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/26/2019,00:00:00,REGULAR,0006233995,0001397881                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/26/2019,04:00:00,REGULAR,0006233999,0001397882                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/26/2019,08:00:00,REGULAR,0006234028,0001397936                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/26/2019,12:00:00,REGULAR,0006234161,0001398046                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/26/2019,16:00:00,REGULAR,0006234420,0001398089                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/26/2019,20:00:00,REGULAR,0006235030,0001398203                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/27/2019,00:00:00,REGULAR,0006235190,0001398233                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/27/2019,04:00:00,REGULAR,0006235194,0001398237                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/27/2019,08:00:00,REGULAR,0006235226,0001398283                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/27/2019,12:00:00,REGULAR,0006235362,0001398404                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/27/2019,16:00:00,REGULAR,0006235599,0001398449                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/27/2019,20:00:00,REGULAR,0006236179,0001398492                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/28/2019,00:00:00,REGULAR,0006236335,0001398507                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/28/2019,04:00:00,REGULAR,0006236346,0001398510                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/28/2019,08:00:00,REGULAR,0006236374,0001398567                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/28/2019,12:00:00,REGULAR,0006236512,0001398720                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/28/2019,16:00:00,REGULAR,0006236787,0001398766                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/28/2019,20:00:00,REGULAR,0006237387,0001398820                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/29/2019,00:00:00,REGULAR,0006237563,0001398844                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/29/2019,04:00:00,REGULAR,0006237575,0001398845                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/29/2019,08:00:00,REGULAR,0006237606,0001398885                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/29/2019,09:48:50,REGULAR,0006237690,0001398981                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/29/2019,11:01:44,REGULAR,0006237719,0001399006                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/29/2019,12:00:00,REGULAR,0006237748,0001399025                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/29/2019,16:00:00,REGULAR,0006238008,0001399071                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/29/2019,20:00:00,REGULAR,0006238598,0001399114                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/23/2019,00:00:00,REGULAR,0001208409,0004540624                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/23/2019,04:00:00,REGULAR,0001208417,0004540643                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/23/2019,08:00:00,REGULAR,0001208420,0004540724                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/23/2019,12:00:00,REGULAR,0001208477,0004541043                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/23/2019,16:00:00,REGULAR,0001208565,0004541378                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/23/2019,20:00:00,REGULAR,0001208694,0004541680                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/24/2019,00:00:00,REGULAR,0001208779,0004541814                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/24/2019,04:00:00,REGULAR,0001208788,0004541833                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/24/2019,08:00:00,REGULAR,0001208791,0004541871                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/24/2019,12:00:00,REGULAR,0001208828,0004542077                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/24/2019,16:00:00,REGULAR,0001208914,0004542340                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/24/2019,20:00:00,REGULAR,0001209007,0004542589                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/25/2019,00:00:00,REGULAR,0001209054,0004542690                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/25/2019,04:00:00,REGULAR,0001209059,0004542699                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/25/2019,08:00:00,REGULAR,0001209066,0004542967                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/25/2019,12:00:00,REGULAR,0001209109,0004543634                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/25/2019,16:00:00,REGULAR,0001209222,0004543812                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/25/2019,20:00:00,REGULAR,0001209437,0004544361                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/26/2019,00:00:00,REGULAR,0001209511,0004544480                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/26/2019,04:00:00,REGULAR,0001209514,0004544490                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/26/2019,08:00:00,REGULAR,0001209525,0004544770                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/26/2019,12:00:00,REGULAR,0001209580,0004545534                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/26/2019,16:00:00,REGULAR,0001209682,0004545866                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/26/2019,20:00:00,REGULAR,0001209897,0004546580                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/27/2019,00:00:00,REGULAR,0001209993,0004546757                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/27/2019,04:00:00,REGULAR,0001209994,0004546763                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/27/2019,08:00:00,REGULAR,0001209999,0004547032                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/27/2019,12:00:00,REGULAR,0001210049,0004547765                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/27/2019,16:00:00,REGULAR,0001210144,0004548129                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/27/2019,20:00:00,REGULAR,0001210373,0004548766                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/28/2019,00:00:00,REGULAR,0001210449,0004548948                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/28/2019,04:00:00,REGULAR,0001210451,0004548960                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/28/2019,08:00:00,REGULAR,0001210463,0004549227                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/28/2019,12:00:00,REGULAR,0001210509,0004549971                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/28/2019,16:00:00,REGULAR,0001210610,0004550317                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/28/2019,20:00:00,REGULAR,0001210872,0004550886                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/29/2019,00:00:00,REGULAR,0001210966,0004551086                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/29/2019,04:00:00,REGULAR,0001210968,0004551097                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/29/2019,08:00:00,REGULAR,0001210977,0004551340                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/29/2019,09:48:50,REGULAR,0001211001,0004551814                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/29/2019,11:01:44,REGULAR,0001211014,0004551991                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/29/2019,12:00:00,REGULAR,0001211026,0004552090                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/29/2019,16:00:00,REGULAR,0001211142,0004552469                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,03/29/2019,20:00:00,REGULAR,0001211405,0004552978                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/23/2019,00:00:00,REGULAR,0001040898,0001609602                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/23/2019,04:00:00,REGULAR,0001040930,0001609631                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/23/2019,08:00:00,REGULAR,0001040947,0001609710                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/23/2019,12:00:00,REGULAR,0001041089,0001609988                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/23/2019,16:00:00,REGULAR,0001041382,0001610286                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/23/2019,20:00:00,REGULAR,0001041679,0001610591                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/24/2019,00:00:00,REGULAR,0001041894,0001610778                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/24/2019,04:00:00,REGULAR,0001041931,0001610802                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/24/2019,08:00:00,REGULAR,0001041948,0001610852                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/24/2019,12:00:00,REGULAR,0001042073,0001611074                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/24/2019,16:00:00,REGULAR,0001042289,0001611365                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/24/2019,20:00:00,REGULAR,0001042534,0001611636                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/25/2019,00:00:00,REGULAR,0001042724,0001611751                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/25/2019,04:00:00,REGULAR,0001042743,0001611758                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/25/2019,08:00:00,REGULAR,0001042784,0001612024                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/25/2019,12:00:00,REGULAR,0001042952,0001612687                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/25/2019,16:00:00,REGULAR,0001043226,0001612912                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/25/2019,20:00:00,REGULAR,0001043756,0001613349                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/26/2019,00:00:00,REGULAR,0001043972,0001613476                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/26/2019,04:00:00,REGULAR,0001043994,0001613489                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/26/2019,08:00:00,REGULAR,0001044031,0001613767                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/26/2019,12:00:00,REGULAR,0001044191,0001614463                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/26/2019,16:00:00,REGULAR,0001044464,0001614812                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/26/2019,20:00:00,REGULAR,0001045008,0001615249                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/27/2019,00:00:00,REGULAR,0001045274,0001615405                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/27/2019,04:00:00,REGULAR,0001045286,0001615414                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/27/2019,08:00:00,REGULAR,0001045325,0001615697                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/27/2019,12:00:00,REGULAR,0001045492,0001616440                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/27/2019,16:00:00,REGULAR,0001045796,0001616782                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/27/2019,20:00:00,REGULAR,0001046314,0001617291                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/28/2019,00:00:00,REGULAR,0001046581,0001617447                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/28/2019,04:00:00,REGULAR,0001046601,0001617457                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/28/2019,08:00:00,REGULAR,0001046644,0001617711                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/28/2019,12:00:00,REGULAR,0001046821,0001618381                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/28/2019,16:00:00,REGULAR,0001047107,0001618683                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/28/2019,20:00:00,REGULAR,0001047639,0001619206                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/29/2019,00:00:00,REGULAR,0001047887,0001619385                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/29/2019,04:00:00,REGULAR,0001047910,0001619404                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/29/2019,08:00:00,REGULAR,0001047948,0001619640                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/29/2019,09:48:50,REGULAR,0001048014,0001620065                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/29/2019,11:01:44,REGULAR,0001048053,0001620236                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/29/2019,12:00:00,REGULAR,0001048089,0001620309                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/29/2019,16:00:00,REGULAR,0001048397,0001620640                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,03/29/2019,20:00:00,REGULAR,0001048952,0001621109                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/23/2019,00:00:00,REGULAR,0006124616,0008270581                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/23/2019,04:00:00,REGULAR,0006124663,0008270591                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/23/2019,08:00:00,REGULAR,0006124682,0008270666                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/23/2019,12:00:00,REGULAR,0006124794,0008270873                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/23/2019,16:00:00,REGULAR,0006125042,0008271070                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/23/2019,20:00:00,REGULAR,0006125344,0008271285                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/24/2019,00:00:00,REGULAR,0006125533,0008271387                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/24/2019,04:00:00,REGULAR,0006125573,0008271402                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/24/2019,08:00:00,REGULAR,0006125588,0008271434                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/24/2019,12:00:00,REGULAR,0006125683,0008271588                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/24/2019,16:00:00,REGULAR,0006125890,0008271778                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/24/2019,20:00:00,REGULAR,0006126120,0008271947                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/25/2019,00:00:00,REGULAR,0006126262,0008272023                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/25/2019,04:00:00,REGULAR,0006126278,0008272030                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/25/2019,08:00:00,REGULAR,0006126314,0008272287                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/25/2019,12:00:00,REGULAR,0006126517,0008272845                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/25/2019,16:00:00,REGULAR,0006126737,0008273075                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/25/2019,20:00:00,REGULAR,0006127298,0008273376                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/26/2019,00:00:00,REGULAR,0006127482,0008273472                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/26/2019,04:00:00,REGULAR,0006127496,0008273483                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/26/2019,08:00:00,REGULAR,0006127536,0008273778                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/26/2019,12:00:00,REGULAR,0006127744,0008274332                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/26/2019,16:00:00,REGULAR,0006127997,0008274541                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,03/26/2019,20:00:00,REGULAR,0006128572,0008274757                                            
